"name","address","city","state","zip_code","latitude","longitude","rating","review_count","is_open","categories"
"The Lunar Inn","3124 Richmond St","Philadelphia","PA","19134",39.9822933,-75.1031599,4.5,29,1,"Bars, Food, Restaurants, Beer, Wine & Spirits, American (Traditional), Nightlife"
"Chase's Hop Shop","7235 Rising Sun Ave","Philadelphia","PA","19111",40.0603863,-75.0845897,4.5,116,1,"Chicken Wings, Nightlife, Bars, Delis, Food, Beer Gardens, Sandwiches, Beer Bar, Restaurants, Beer, Wine & Spirits, Gastropubs"
"Beck's Cajun Cafe","51 N 12th St","Philadelphia","PA","19107",39.9533224742,-75.1590000821,4,485,1,"Restaurants, Cajun/Creole"
"Golden Triangle","610 S 5th St","Philadelphia","PA","19147",39.9415201345,-75.1509702725,4.5,159,1,"Restaurants, Malaysian, Burmese, Asian Fusion, Thai"
"Forin Cafe","2041 Coral St, Ste 2","Philadelphia","PA","19125",39.9813471541,-75.1322471288,4.5,10,1,"Shopping, Restaurants, Cafes, Fashion"
"Mood Cafe","4618 Baltimore Ave","Philadelphia","PA","19143",39.9486639126,-75.2158315415,4.5,458,1,"Cafes, Pakistani, Juice Bars & Smoothies, Restaurants, Ice Cream & Frozen Yogurt, Halal, Indian, Coffee & Tea, Food"
"Wilson's Market","1337 W Olney Ave","Philadelphia","PA","19141",40.0390528,-75.1438169,3.5,13,1,"Specialty Food, Meat Shops, Sandwiches, Food, Restaurants, Delis, Grocery"
"Southgate","1801 Lombard St","Philadelphia","PA","19146",39.9455687,-75.1717901,4,323,1,"Breakfast & Brunch, American (Traditional), Korean, Restaurants, Gastropubs, Nightlife, Bars, Cocktail Bars"
"Falls Deli","3492 Tilden St","Philadelphia","PA","19129",40.0128847,-75.1901845,4.5,31,1,"Bagels, Food, Sandwiches, Delis, Breakfast & Brunch, Restaurants, Event Planning & Services, Caterers"
"Angelina's","743 S 8th St","Philadelphia","PA","19147",39.940221217,-75.1557966694,4.5,49,1,"Restaurants, Italian"
"Crown Fried Chicken","933 N Broad St","Philadelphia","PA","19123",39.971145,-75.15902,3.5,11,1,"Chicken Wings, Restaurants, Fast Food"
"Gigi and Big R","38th and Spruce","Philadelphia","PA","19104",39.9512903,-75.1992768,4,81,1,"Restaurants, Food, Caribbean, Food Trucks"
"O Sole Mio","250 Catharine St","Philadelphia","PA","19147",39.9378287,-75.1482632,4.5,85,1,"Food, Seafood, Sardinian, Gelato, Restaurants, Pizza, Italian"
"Taqueria La Hacienda","4715 N Front St","Philadelphia","PA","19120",40.02202,-75.1240606,3.5,10,1,"Latin American, Restaurants"
"Alchemy Coffee","119 S 21st St","Philadelphia","PA","19103",39.9511237,-75.1755163,5,19,1,"Food, Coffee & Tea"
"Cannuli's Quality Meats & Poultry","937 S 9th St","Philadelphia","PA","19147",39.9378963,-75.1579013,4.5,38,1,"Specialty Food, Caterers, Meat Shops, Food, Event Planning & Services"
"Saladworks","2955 Market St, Ste 221","Philadelphia","PA","19104",39.9557501,-75.1819889,3.5,8,1,"Salad, Restaurants, American (Traditional), Food, Sandwiches, Do-It-Yourself Food, Soup, Vegetarian, American (New)"
"Olly","700 S 5th St","Philadelphia","PA","19147",39.9408776,-75.1511064,4,51,1,"Pizza, Food, Bagels, Sandwiches, Comfort Food, Breakfast & Brunch, Burgers, American (New), Nightlife, Bars, Wine Bars, Restaurants"
"Spice Grill","3447-61 Richmond St","Philadelphia","PA","19134",39.9862724,-75.094699,3.5,12,1,"Restaurants, Chinese, Asian Fusion"
"Han Dynasty","3711 Market St","Philadelphia","PA","19104",39.9567105161,-75.1971027811,4,783,1,"Restaurants, Chinese, Szechuan"
"Guavaberry Foods & Drinks ","776 S 4th St","Philadelphia","PA","19147",39.938371,-75.1501031,4,13,1,"Delis, Convenience Stores, Restaurants, Cafes, Food"
"México Lindo","700 Moore St","Philadelphia","PA","19148",39.926402,-75.1575374,4.5,73,1,"Mexican, Restaurants"
"Dragon House","1228 Chestnut St","Philadelphia","PA","19107",39.9503586,-75.1615836,4,5,1,"Restaurants, Chinese"
"Buca D’Oro ","711 Locust St","Philadelphia","PA","19106",39.9470772078,-75.1541655511,4,5,1,"Italian, Restaurants"
"Pho Nam Giang","427 Franklin Mills Cir","Philadelphia","PA","19154",40.0860776,-74.9648083509,4.5,23,1,"Chinese, Restaurants, Vietnamese, Asian Fusion"
"J'aime French Bakery","212 S 12th St","Philadelphia","PA","19107",39.948081,-75.1608093,4.5,310,1,"Food, Juice Bars & Smoothies, Coffee & Tea, Restaurants, Bakeries, Cafes"
"Pub & Kitchen","1946 Lombard St","Philadelphia","PA","19146",39.9456566,-75.1747733,3.5,615,1,"Restaurants, Pubs, Food, Bars, American (New), Nightlife"
"Square 1682","121 S 17th St","Philadelphia","PA","19103",39.9508011,-75.1686108,3.5,385,1,"American (New), Breakfast & Brunch, Bars, Nightlife, Restaurants"
"Franzone's Pizzeria & Restaurant","114 Levering St","Philadelphia","PA","19127",40.026465,-75.2244958,3.5,110,1,"Pizza, Restaurants"
"Vientiane Café","4728 Baltimore Ave","Philadelphia","PA","19143",39.9483087,-75.2178905,4,304,1,"Vietnamese, Restaurants, Food, Thai, Coffee & Tea, Laotian"
"Menchie's Frozen Yogurt","9173 Roosevelt Blvd","Philadelphia","PA","19114",40.076192,-75.031427,4,19,1,"Food, Desserts, Do-It-Yourself Food, Ice Cream & Frozen Yogurt"
"1 Tippling Place","2006 Chestnut St","Philadelphia","PA","19103",39.951859,-75.173882,4,300,1,"Bars, Nightlife, Lounges, Cocktail Bars"
"Passero's Coffee Roasters","1601 John F Kennedy Blvd","Philadelphia","PA","19103",39.9542012,-75.1674658,4.5,91,1,"Coffee & Tea, Restaurants, Food, Coffee Roasteries, Sandwiches"
"Gachi Sushi and Noodle","8500 Essington Ave, A West Terminal","Philadelphia","PA","19153",39.8946117,-75.2292952,4,95,1,"Noodles, Japanese, Restaurants, Sushi Bars"
"George's Wings","3818 Morrell Ave","Philadelphia","PA","19114",40.0643044322,-74.9868814021,3.5,50,1,"American (Traditional), Fast Food, Restaurants, Chicken Wings, Food, Seafood, Sandwiches, Wraps, Burgers"
"Vineyards Cafe","847 N 16th St","Philadelphia","PA","19130",39.969939,-75.163026,4.5,192,1,"Coffee & Tea, Cafes, Food, Creperies, Internet Cafes, Restaurants, Breakfast & Brunch"
"PrimoHoagies","1528 W Ritner St","Philadelphia","PA","19145",39.9209271,-75.1733058,4,43,1,"Delis, Restaurants, Italian, Local Flavor, Sandwiches"
"Hyon's Seafood","1320 S 21st St","Philadelphia","PA","19146",39.9350405,-75.179381,3.5,5,1,"Restaurants, Seafood"
"Ron's Caribbean Cuisine","5726 N Broad St","Philadelphia","PA","19141",40.0407573,-75.1448014,4,142,1,"Restaurants, Food, Ethnic Food, Cafes, Caribbean, Specialty Food"
"Tom's Corner Grill & Pizza","7375 Crabtree St","Philadelphia","PA","19136",40.0406177,-75.0438084,3.5,11,1,"Restaurants, Pizza"
"Los Compadres","3300 Market St","Philadelphia","PA","19145",39.9553865,-75.1910637,4,12,1,"Mexican, Italian, Food Trucks, Restaurants, Food"
"Los Potrillos","4200 G St.","Philadelphia","PA","19124",40.0123759,-75.1124633,4,17,1,"American (Traditional), Spanish, Restaurants, Food Trucks, Mexican, Food"
"Kurry Shack","2015 E Moyamensing Ave","Philadelphia","PA","19148",39.9229257,-75.1525267,3.5,29,1,"Vegetarian, Specialty Food, Health Markets, Halal, Indian, Restaurants, Food"
"The Black Sheep Pub & Restaurant","247 S 17th St","Philadelphia","PA","19103",39.9484223,-75.1692901,3.5,339,1,"Bars, Pubs, Irish Pub, Nightlife, Sports Bars, Restaurants, American (New)"
"Slices Pizza","4249 Ridge Ave","Philadelphia","PA","19129",40.0096537,-75.1954732,4,122,1,"Pizza, Food, Restaurants"
"Lazos Pizza & Grill","2533 Poplar St","Philadelphia","PA","19130",39.9727751034,-75.1789870874,4,176,1,"Pizza, American (Traditional), Restaurants, Italian"
"Ramble Pizza","","Philadelphia","PA","19125",39.9793657,-75.1253492,4.5,19,1,"Restaurants, Pizza, Food, Food Trucks"
"Sue's Market","275 St James Pl","Philadelphia","PA","19106",39.946233,-75.1455404,4,9,1,"Beer, Wine & Spirits, Restaurants, Specialty Food, Food, Sandwiches, Delis, Fruits & Veggies, Grocery"
"Charlie's Roast Pork","1301 S 3rd St","Philadelphia","PA","19147",39.9315335419,-75.1496175304,4.5,30,1,"Restaurants, Breakfast & Brunch, Sandwiches"
"New Liberty Distillery","1431 N Cadwallader St","Philadelphia","PA","19122",39.9737458,-75.1405645,4.5,48,1,"Food, Beer, Wine & Spirits, Distilleries, Venues & Event Spaces, Event Planning & Services, Bars, Nightlife"
"Tomo Sushi & Ramen","228 Arch St","Philadelphia","PA","19106",39.951923,-75.144335,4.5,193,1,"Japanese, Restaurants, Ramen, Sushi Bars"
"City Food Tours","","Philadelphia","PA","19102",39.9556241,-75.1647529,4.5,48,1,"Hotels & Travel, Specialty Food, Food, Food Tours, Tours"
"Loco Lucho's Latino Kitchen","51 N 12th St","Philadelphia","PA","19107",39.9531593,-75.1590984,3.5,40,1,"Spanish, Restaurants, Latin American, Puerto Rican, Caribbean, Cuban"
"Potito's Italian American Pastries","1614 W Ritner St","Philadelphia","PA","19145",39.9210221,-75.1744313,3.5,88,1,"Food, Restaurants, Bakeries"
"Gaetano’s","3820 Lancaster Ave","Philadelphia","PA","19104",39.9604844097,-75.1977337,3.5,6,1,"Pizza, Restaurants, Sandwiches, Cheesesteaks"
"Las Cazuelas Restaurant BYOB","426 W Girard Ave","Philadelphia","PA","19123",39.9698623,-75.1439919,4,338,1,"Food, Tacos, Mexican, Latin American, Restaurants, Spanish"
"D'S Caribbean And American Food","3009 N 22nd St","Philadelphia","PA","19132",40.000452,-75.1662905577,3.5,10,1,"Caribbean, Cajun/Creole, Restaurants, Southern"
"Tony Express","3334 N Broad St","Philadelphia","PA","19140",40.004478,-75.152804,5,8,1,"Food, Food Trucks, Mediterranean, Sandwiches, Restaurants, Burgers, Falafel"
"Panasian Buffet","833 Adams Ave","Philadelphia","PA","19124",40.0308845266,-75.1041150063,3.5,62,1,"Pan Asian, Japanese, Buffets, Restaurants, American (Traditional), Chinese, Seafood"
"Lucky Goat Coffeehouse","888 N 26th St","Philadelphia","PA","19130",39.9725217939,-75.1792898199,4.5,135,1,"Food, Coffee & Tea"
"4 Seasons Grill Mexican Restaurant","3503 B St, Ste 4B","Philadelphia","PA","19134",40.0030161,-75.1239721,4,12,1,"Mexican, Restaurants"
"Paris Baguette","6773 N 5th St","Philadelphia","PA","19126",40.0546357,-75.1261125,4,32,1,"Bakeries, Food"
"Queen Sheba","4511 Baltimore Ave","Philadelphia","PA","19143",39.9489954358,-75.2135489881,4,64,1,"Nightlife, Restaurants, Sports Bars, Bars, Ethiopian"
"Ricci's Hoagies","1165 S 11th St","Philadelphia","PA","19147",39.9353601,-75.1615836,4,67,1,"Restaurants, Italian, Sandwiches"
"Pina's Pizza","8919 Ridge Ave","Philadelphia","PA","19128",40.0694581,-75.2398454,3.5,47,1,"Restaurants, Italian, Pizza, Seafood"
"Oregon Steaks","2654 S 10th St","Philadelphia","PA","19148",39.91579,-75.1653879,3.5,184,1,"Restaurants, Cheesesteaks, Sandwiches, Steakhouses, Local Flavor"
"Daydreams Gentlemen's Club","5200 Unruh Ave","Philadelphia","PA","19135",40.0183873,-75.0424964,3.5,19,1,"Bars, Adult Entertainment, Event Planning & Services, Nightlife, Arts & Entertainment, Sports Bars, Strip Clubs, Party & Event Planning, Dance Clubs"
"SET NoLibs","1030 N 2nd St, Unit 101","Philadelphia","PA","19123",39.9671493,-75.1404232,4,108,1,"Mexican, Bars, Restaurants, Asian Fusion, Lounges, Nightlife, Salad, Tacos"
"George's Sandwich Shop","900 S 9th St","Philadelphia","PA","19147",39.9388315986,-75.1579846257,4,93,1,"Italian, Cheesesteaks, Restaurants, Sandwiches"
"Good Karma Cafe","928 Pine St","Philadelphia","PA","19107",39.9446092,-75.1578331,4,249,1,"Food, Cafes, Coffee & Tea, Restaurants"
"Athenian Restaurant","6824 Torresdale Ave","Philadelphia","PA","19135",40.0259565956,-75.0442917475,4,27,1,"Food, American (New), Diners, Restaurants, American (Traditional)"
"The Palace of Indian","1533 S 11th St","Philadelphia","PA","19147",39.9299499,-75.1629175,4,88,1,"Restaurants, Indian"
"Mac's Tavern","226 Market St","Philadelphia","PA","19106",39.949794,-75.144739,3.5,446,1,"Nightlife, Restaurants, American (New), Bars, Pubs"
"Moon Flower House","6414 Frankford Ave, Unit 11","Philadelphia","PA","19135",40.0295791831,-75.0583349168,4.5,8,1,"Juice Bars & Smoothies, Food, Burgers, Restaurants, Sandwiches"
"Holmesburg Bakery","7935 Frankford Ave","Philadelphia","PA","19136",40.0410115,-75.0284172,4,79,1,"Restaurants, Food, Bakeries"
"Chez Yasmine","3740 Spruce St","Philadelphia","PA","19104",39.9510399,-75.1989093,4,37,1,"Food, Street Vendors, Food Trucks, Specialty Food"
"Halal Gyro King","1 S 12th St","Philadelphia","PA","19107",39.95187,-75.159913,4.5,24,1,"Food Trucks, Halal, Food, Street Vendors, Sandwiches, Middle Eastern, Food Stands, Restaurants"
"Cake Life Bake Shop","1306 Frankford Ave","Philadelphia","PA","19125",39.970468014,-75.1345396622,4.5,241,1,"Caterers, Cafes, Event Planning & Services, Food, Cupcakes, Bakeries, Restaurants, Desserts"
"Maria's Ristorante on Summit","8100 Ridge Ave","Philadelphia","PA","19128",40.0567171,-75.2363521,3.5,98,1,"Italian, Pizza, Restaurants"
"Rangoli: Vibrant Flavors of India","10863 Bustleton Ave","Philadelphia","PA","19116",40.110566,-75.0238988,4,89,1,"Pakistani, Specialty Food, Halal, Restaurants, Indian, Health Markets, Vegetarian, Vegan, Ethnic Food, Food"
"Foodery","324 S 10th St","Philadelphia","PA","19102",39.9448121788,-75.158305077,3.5,113,1,"Food, Delis, Beer, Wine & Spirits, Restaurants"
"Dagwood's Pub","4625 Linden Ave","Philadelphia","PA","19114",40.0506387,-74.9997615712,4,123,1,"Restaurants, Pubs, Nightlife, Bars, Seafood"
"Jimmies Cupcake","","Philadelphia","PA","19004",40.0131418,-75.2304038,3.5,17,1,"Food Trucks, Food, Cupcakes, Street Vendors"
"Alena’s Cafe","6669 Germantown Ave","Philadelphia","PA","19119",40.0513741,-75.1849412,5,29,1,"Cafes, Restaurants"
"Zorba's Taverna","2230 Fairmount Ave","Philadelphia","PA","19130",39.9671642,-75.1748969,4.5,510,1,"Restaurants, Greek, Mediterranean"
"Heng Fa Food Market","130 N 10th St","Philadelphia","PA","19107",39.954417,-75.156357,4,28,1,"Ethnic Food, Food, Specialty Food, International Grocery, Grocery, Imported Food"
"Woolly Mammoth","430 South St","Philadelphia","PA","19147",39.9416322,-75.1503319,3.5,81,1,"Karaoke, Nightlife, Bars, Sports Bars, Music Venues, Arts & Entertainment"
"Jasmine Rice - Rittenhouse","306 S 16th St","Philadelphia","PA","19102",39.9470839462,-75.1682054067,3.5,307,1,"Soup, Thai, Restaurants, Salad"
"Xochitl","408 S 2nd St","Philadelphia","PA","19147",39.9428742,-75.1456449,3.5,453,1,"Lounges, Restaurants, Asian Fusion, Mexican, Latin American, Nightlife, Bars"
"Al Sham Restaurant - Philadelphia","306 W Chelten Ave","Philadelphia","PA","19144",40.0300231,-75.1803247,3.5,37,1,"Restaurants, Halal, Kebab, Middle Eastern"
"Mom Mom's Kitchen and Polish Food Cart","1505 South St","Philadelphia","PA","19146",39.9439859,-75.167449,5,91,1,"Food, Polish, Food Trucks, Street Vendors, Restaurants"
"Hibachi 2 Go","1414 Synder Ave","Philadelphia","PA","19145",39.9242167,-75.1703845,3.5,105,1,"Sushi Bars, Japanese, Restaurants"
"Gaby’s Station Pizza","1629 S 7th St","Philadelphia","PA","19148",39.9282246,-75.1568413,4,11,1,"Mexican, Restaurants, Pizza"
"Lauren Buckley, L.AC","1532 E Passyunk Ave","Philadelphia","PA","19147",39.9302939,-75.1631455,5,17,1,"Traditional Chinese Medicine, Health & Medical, Acupuncture, Massage Therapy"
"Day Break Eggs","2900 Grays Ferry Ave","Philadelphia","PA","19146",39.9387267,-75.1923844,4.5,22,1,"Restaurants, Breakfast & Brunch"
"Stuff'd Buns","","Philadelphia","PA","19143",39.9412882,-75.2187346,5,13,1,"Food, Event Planning & Services, Caterers, Food Trucks"
"The Frosted Fox Cake Shop","6511 Germantown Ave","Philadelphia","PA","19119",40.0487762,-75.1834594,5,104,1,"Bakeries, Food"
"Bitar's","947 Federal St","Philadelphia","PA","19147",39.9346516,-75.1602726,4,154,1,"Restaurants, Middle Eastern, Falafel, Bakeries, Food, Greek, Mediterranean"
"Cily Chicken Rice","933 Race St","Philadelphia","PA","19107",39.955545,-75.1554729,4.5,68,1,"Hainan, Fast Food, Chinese, Coffee & Tea, Food, Restaurants, Thai"
"Franklin's","3521 Bowman St","Philadelphia","PA","19129",40.0110062,-75.189062,3.5,129,1,"Restaurants, Burgers, Nightlife, Beer, Wine & Spirits, American (New), Bars, Food, Karaoke, Sports Bars"
"Tacodelphia","427 S Broad St","Philadelphia","PA","19147",39.9448608451,-75.1652079004,4,240,1,"New Mexican Cuisine, Mexican, Tex-Mex, Tacos, Restaurants"
"El Limon","4514 City Ave","Philadelphia","PA","19131",40.0027825,-75.2222705,4,12,1,"Mexican, Restaurants"
"Franny Lou's Porch","2400 Coral St","Philadelphia","PA","19125",39.9835674,-75.1293858,4.5,68,1,"Coffee & Tea, Breakfast & Brunch, Books, Mags, Music & Video, Bookstores, Tea Rooms, Bagels, Shopping, Sandwiches, Restaurants, Food"
"Keshet Kitchen","705 E Passyunk Ave","Philadelphia","PA","19147",39.9404826,-75.1507871,4.5,11,1,"Restaurants, Desserts, Comfort Food, Food, Middle Eastern"
"KASUMI SUSHI","2201 Penrose Ave, Ste3","Philadelphia","PA","19145",39.9102554,-75.1869588,4,55,1,"Restaurants, Japanese, Sushi Bars"
"Zaika","2481 Grant Ave","Philadelphia","PA","19114",40.0798480557,-75.025079772,4,181,1,"Halal, Pakistani, Restaurants, Indian"
"HipCityVeg - University City","214 S 40th St","Philadelphia","PA","19104",39.953549,-75.202991,4,314,1,"Sandwiches, Food, Burgers, Restaurants, Vegan, Desserts"
"Philadelphia Cricket Club","415 W Willow Grove Ave","Philadelphia","PA","19118",40.0650212,-75.2065334,4,13,1,"Venues & Event Spaces, Restaurants, Active Life, Event Planning & Services, Sports Clubs, Beaches, Tennis, Swimming Pools, Golf"
"Goldie","3401 Walnut St","Philadelphia","PA","19104",39.953074,-75.192585,4.5,46,1,"Mediterranean, Falafel, Restaurants, Fast Food"
"Buena Onda","1901 Callowhill St","Philadelphia","PA","19130",39.9609147337,-75.1708267829,4,552,1,"Tacos, Restaurants, Mexican"
"Vientiane Bistro","2537 Kensington Ave","Philadelphia","PA","19125",39.9881000819,-75.1282148436,4.5,67,1,"Vegan, Restaurants, Laotian, Asian Fusion, Thai, Cafes"
"Izzy's 33","1703 S 9th St","Philadelphia","PA","19148",39.9280043249,-75.160044618,4.5,24,1,"Mexican, Restaurants, Cafes, Breakfast & Brunch, Italian"
"John's Water Ice","701 Christian St","Philadelphia","PA","19147",39.9382846,-75.1548943,4.5,274,1,"Local Flavor, Ice Cream & Frozen Yogurt, Food"
"Joe's Steaks + Soda Shop","6030 Torresdale Ave","Philadelphia","PA","19135",40.0185131,-75.0581372,4.5,380,1,"Sandwiches, Restaurants, Cheesesteaks"
"Brownies Pub","46 S 2nd St","Philadelphia","PA","19106",39.9488403,-75.1441287,3.5,51,1,"Pubs, Nightlife, Bars, Sports Bars"
"Yellow Bicycle Canteen","930 Locust St","Philadelphia","PA","19107",39.9472244065,-75.1572515,5,13,1,"Caterers, Event Planning & Services, Cafes, Vegetarian, Restaurants, Sandwiches"
"Suraya","1528 Frankford Ave","Philadelphia","PA","19125",39.9736865005,-75.1339557767,4.5,1121,1,"Active Life, Beer Gardens, Grocery, Middle Eastern, Specialty Food, American (New), Parks, Cafes, Food, Nightlife, Restaurants, Coffee & Tea, Lebanese"
"Lloyd Whiskey Bar","529 E Girard Ave","Philadelphia","PA","19125",39.9713575331,-75.127588677,4,210,1,"Nightlife, Restaurants, Wine Bars, Cocktail Bars, Gastropubs, Bars, American (New), Lounges"
"Smiley's Cafe","4251 Main St","Philadelphia","PA","19127",40.024774,-75.2214354,4.5,423,1,"Juice Bars & Smoothies, Food, Mediterranean, Greek, Restaurants, Sandwiches"
"iPho Vietnamese Restaurant","1921 Fairmount Ave","Philadelphia","PA","19130",39.9674553,-75.169558,3.5,151,1,"Vietnamese, Restaurants"
"Happy Joy Family Restaurant","1328 W Girard Ave","Philadelphia","PA","19123",39.9710521,-75.1582199,4.5,21,1,"Breakfast & Brunch, American (Traditional), Restaurants"
"ShenNong Acupuncture and Oriental Medicine","926 Arch St","Philadelphia","PA","19107",39.9532187,-75.1557922,4,29,1,"Traditional Chinese Medicine, Acupuncture, Health & Medical"
"The Sweet Life Bakeshop","740 South St","Philadelphia","PA","19147",39.942203,-75.155223,5,316,1,"Food, Cupcakes, Desserts, Bakeries"
"The Original Hot Dog Factory","125 N 15th St","Philadelphia","PA","19102",39.9554278,-75.1643767,3.5,30,1,"Hot Dogs, Restaurants"
"Mediterra Grill","2119 N 63rd St","Philadelphia","PA","19151",39.9887627,-75.249793,3.5,36,1,"Restaurants, American (New), Salad, Sandwiches, Mediterranean"
"So Korean Grill","6201 N Front St, Ste 120","Philadelphia","PA","19120",40.0453172867,-75.1176526374,4.5,77,1,"Korean, Barbeque, Restaurants"
"Paris Baguette","3816 Chestnut St, Unit  9","Philadelphia","PA","19104",39.9551256,-75.1998158,4.5,15,1,"Food, Patisserie/Cake Shop, Bakeries, Coffee & Tea"
"Prohibition Taproom","501 N 13th St","Philadelphia","PA","19123",39.9613018,-75.1593118,4,618,1,"American (Traditional), Bars, Nightlife, Restaurants, Beer Bar, Gastropubs, Breakfast & Brunch, Tapas/Small Plates"
"P & S Ravioli","1640 S 10th St","Philadelphia","PA","19148",39.928473,-75.1619827,4.5,6,1,"Food, Do-It-Yourself Food, Restaurants, Italian"
"Cafe Square One","50 S 3rd St","Philadelphia","PA","19106",39.9489068,-75.1460802,4.5,245,1,"Food, Coffee & Tea, Cafes, Salad, Sandwiches, Sushi Bars, Restaurants, Breakfast & Brunch"
"Brick House Bar & Grille","3334 Grant Ave","Philadelphia","PA","19114",40.068094,-75.00631,3.5,46,1,"Sports Bars, Nightlife, Karaoke, Pubs, Bars"
"Bai Wei","1038 Race St","Philadelphia","PA","19107",39.9554771,-75.1572987,4,231,1,"Chinese, Food, Bubble Tea, Restaurants, Dim Sum, Szechuan"
"Earl of Sandwich","8500 Essington Ave, Terminal D, Philadelphia International Airport","Philadelphia","PA","19153",39.8768139466,-75.2398777179,3.5,81,1,"Restaurants, Sandwiches, Wraps, Salad"
"Termini Bros Bakery","12th St & Filbert St","Philadelphia","PA","19107",39.9530477103,-75.1590135265,4,263,1,"Food, Restaurants, Bakeries"
"Capriotti Bros","7132 Frankford Ave","Philadelphia","PA","19135",40.0354067,-75.0439681,5,12,1,"Fruits & Veggies, Food, Specialty Food"
"Jeisy Grilled Chicken","5701 Germantown Ave","Philadelphia","PA","19144",40.036142,-75.174734,4,10,1,"Barbeque, Restaurants, American (Traditional)"
"Green Basil Thai Kitchen","240 South St","Philadelphia","PA","19147",39.9413000709,-75.1472321594,4,74,1,"Thai, Restaurants"
"Barber's Hall","1402 W Oxford St","Philadelphia","PA","19121",39.9771894,-75.1588931,3.5,10,1,"Sports Bars, Venues & Event Spaces, Event Planning & Services, Nightlife, Bars"
"Asadero los tios","3087 Holme Ave","Philadelphia","PA","19136",40.0568875,-75.0154664,4.5,15,1,"Dominican, Caribbean, Mexican, Restaurants"
